0,北京,province
1,北京,city,0
2,东城区,area,1
3,西城区,area,1
4,崇文区,area,1
5,宣武区,area,1
6,朝阳区,area,1
7,丰台区,area,1
8,石景山区,area,1
9,海淀区,area,1
10,门头沟区,area,1
11,房山区,area,1
12,通州区,area,1
13,顺义区,area,1
14,昌平区,area,1
15,大兴区,area,1
16,平谷区,area,1
17,怀柔区,area,1
18,密云县,area,1
19,延庆县,area,1
20,天津,province
21,天津,city,20
22,和平区,area,21
23,河东区,area,21
24,河西区,area,21
25,南开区,area,21
26,河北区,area,21
27,红桥区,area,21
28,塘沽区,area,21
29,汉沽区,area,21
30,大港区,area,21
31,东丽区,area,21
32,西青区,area,21
33,津南区,area,21
34,北辰区,area,21
35,武清区,area,21
36,宝坻区,area,21
37,宁河县,area,21
38,静海县,area,21
39,蓟县,area,21
40,河北,province
41,石家庄,city,40
42,长安区,area,41
43,桥东区,area,41
44,桥西区,area,41
45,新华区,area,41
46,郊区,area,41
47,井陉矿区,area,41
48,井陉县,area,41
49,正定县,area,41
50,栾城县,area,41
51,行唐县,area,41
52,灵寿县,area,41
53,高邑县,area,41
54,深泽县,area,41
55,赞皇县,area,41
56,无极县,area,41
57,平山县,area,41
58,元氏县,area,41
59,赵县,area,41
60,辛集市,area,41
61,藁,area,41
62,晋州市,area,41
63,新乐市,area,41
64,鹿泉市,area,41
65,唐山,city,40
66,路南区,area,65
67,路北区,area,65
68,古冶区,area,65
69,开平区,area,65
70,新区,area,65
71,丰润县,area,65
72,滦县,area,65
73,滦南县,area,65
74,乐亭县,area,65
75,迁西县,area,65
76,玉田县,area,65
77,唐海县,area,65
78,遵化市,area,65
79,丰南市,area,65
80,迁安市,area,65
81,秦皇岛,city,40
82,海港区,area,81
83,山海关区,area,81
84,北戴河区,area,81
85,青龙满族自治县,area,81
86,昌黎县,area,81
87,抚宁县,area,81
88,卢龙县,area,81
89,邯郸,city,40
90,邯山区,area,89
91,丛台区,area,89
92,复兴区,area,89
93,峰峰矿区,area,89
94,邯郸县,area,89
95,临漳县,area,89
96,成安县,area,89
97,大名县,area,89
98,涉县,area,89
99,磁县,area,89
100,肥乡县,area,89
101,永年县,area,89
102,邱县,area,89
103,鸡泽县,area,89
104,广平县,area,89
105,馆陶县,area,89
106,魏县,area,89
107,曲周县,area,89
108,武安市,area,89
109,邢台,city,40
110,桥东区,area,109
111,桥西区,area,109
112,邢台县,area,109
113,临城县,area,109
114,内丘县,area,109
115,柏乡县,area,109
116,隆尧县,area,109
117,任县,area,109
118,南和县,area,109
119,宁晋县,area,109
120,巨鹿县,area,109
121,新河县,area,109
122,广宗县,area,109
123,平乡县,area,109
124,威县,area,109
125,清河县,area,109
126,临西县,area,109
127,南宫市,area,109
128,沙河市,area,109
129,保定,city,40
130,新市区,area,129
131,北市区,area,129
132,南市区,area,129
133,满城县,area,129
134,清苑县,area,129
135,涞水县,area,129
136,阜平县,area,129
137,徐水县,area,129
138,定兴县,area,129
139,唐县,area,129
140,高阳县,area,129
141,容城县,area,129
142,涞源县,area,129
143,望都县,area,129
144,安新县,area,129
145,易县,area,129
146,曲阳县,area,129
147,蠡县,area,129
148,顺平县,area,129
